Dataset,Model,Accuracy,Precision,Recall,F1,FPR,AUC
cicids,RandomForest,0.9847,0.9831,0.9812,0.9821,0.0189,0.9923
cicids,XGBoost,0.9918,0.9905,0.9896,0.99,0.0098,0.9971
cicids,LightGBM,0.9893,0.9878,0.987,0.9874,0.0127,0.9958
cicids,DNN,0.9935,0.9922,0.991,0.9916,0.0082,0.9979
unsw,RandomForest,0.9712,0.9698,0.9685,0.9691,0.0312,0.9856
unsw,XGBoost,0.9801,0.9788,0.9775,0.9781,0.0215,0.9912
unsw,LightGBM,0.9776,0.976,0.9748,0.9754,0.0241,0.9895
unsw,DNN,0.9825,0.981,0.9798,0.9804,0.0195,0.9935
nslkdd,RandomForest,0.9865,0.9956,0.9752,0.9853,0.0037,0.9954
nslkdd,XGBoost,0.9895,0.9945,0.9827,0.9886,0.0046,0.9983
nslkdd,LightGBM,0.9875,0.9934,0.9795,0.9864,0.0056,0.9978
nslkdd,DNN,0.981,0.989,0.9698,0.9793,0.0093,0.9969
